day,AQI

"Monday, December 3rd 2018",246
"Tuesday, December 4th 2018",266
"Wednesday, December 5th 2018",282
"Thursday, December 6th 2018",352
"Friday, December 7th 2018",349
"Saturday, December 8th 2018",340
"Sunday, December 9th 2018",322
"Monday, December 10th 2018",322
"Tuesday, December 11th 2018",294
"Wednesday, December 12th 2018",319
,-
,-
,-
"Sunday, December 16th 2018",220
"Monday, December 17th 2018",201
"Tuesday, December 18th 2018",203
"Wednesday, December 19th 2018",165
"Thursday, December 20th 2018",170
"Friday, December 21st 2018",211
"Saturday, December 22nd 2018",299
"Sunday, December 23rd 2018",309
"Monday, December 24th 2018",299
"Tuesday, December 25th 2018",274
"Wednesday, December 26th 2018",290
"Thursday, December 27th 2018",270
"Friday, December 28th 2018",323
"Saturday, December 29th 2018",299
"Sunday, December 30th 2018",315
"Monday, December 31st 2018",263
"Tuesday, January 1st 2019",266
"Wednesday, January 2nd 2019",289
"Thursday, January 3rd 2019",240
"Friday, January 4th 2019",341
"Saturday, January 5th 2019",347
"Sunday, January 6th 2019",310
"Monday, January 7th 2019",237
"Tuesday, January 8th 2019",251
"Wednesday, January 9th 2019",243
"Thursday, January 10th 2019",256
"Friday, January 11th 2019",312
"Saturday, January 12th 2019",288
"Sunday, January 13th 2019",310
"Monday, January 14th 2019",300
"Tuesday, January 15th 2019",336
"Wednesday, January 16th 2019",281
"Thursday, January 17th 2019",244
"Friday, January 18th 2019",300
"Saturday, January 19th 2019",324
"Sunday, January 20th 2019",360
"Monday, January 21st 2019",354
"Tuesday, January 22nd 2019",356
"Wednesday, January 23rd 2019",382
"Thursday, January 24th 2019",372
"Friday, January 25th 2019",311
"Saturday, January 26th 2019",243
"Sunday, January 27th 2019",203
"Monday, January 28th 2019",195
"Tuesday, January 29th 2019",198
"Wednesday, January 30th 2019",187
"Thursday, January 31st 2019",193
"Friday, February 1st 2019",228
"Saturday, February 2nd 2019",240
"Sunday, February 3rd 2019",325
"Monday, February 4th 2019",285
"Tuesday, February 5th 2019",258
"Wednesday, February 6th 2019",249
"Thursday, February 7th 2019",291
"Friday, February 8th 2019",263
"Saturday, February 9th 2019",251
"Sunday, February 10th 2019",197
"Monday, February 11th 2019",158
"Tuesday, February 12th 2019",178
"Wednesday, February 13th 2019",213
"Thursday, February 14th 2019",214
"Friday, February 15th 2019",275
"Saturday, February 16th 2019",306
"Sunday, February 17th 2019",217
"Monday, February 18th 2019",189
"Tuesday, February 19th 2019",198
"Wednesday, February 20th 2019",253
"Thursday, February 21st 2019",193
"Friday, February 22nd 2019",260
"Saturday, February 23rd 2019",186
"Sunday, February 24th 2019",192
"Monday, February 25th 2019",196
"Tuesday, February 26th 2019",176
"Wednesday, February 27th 2019",150
"Thursday, February 28th 2019",110
"Friday, March 1st 2019",124
"Saturday, March 2nd 2019",161
